# 1CGH_name      RA_1CGH     DEC_1CGH     Counterpart_name                               N0[1E-16] N0_err[1E-16] Index Index_err Flux[1E-12] Flux_err[1E-12] TS         z       zflag z_origin                                                        Nph_128 Emax_128[GeV]    Nph_512 Emax_512[GeV]    Ebin_max[GeV]    TrasmissionEbin    AbsEbin                tauEbin               Abs_flag GAL_LAT             BZcat          z_3HSP zflag_3hsp 4FGL_counter_name  TEVCAT_FLAG_4FGLdr4 ASSOC_TEV_4FGLdr4     CLASS1_4FGLdr4 ASSOC1_4FGLdr4               Name_4LACdr3      z_4LACdr3_1 Name_3FHL         z_3FHL  
  1CGHJ2359+2502 359.8342    25.0416      4FGLJ2359.3+2502                               4.25      2.44          3.61  1.53      7.04        4.05            10.1       ""      ""    4FGLdr4                                                         4.0     18.697529296875  3.0     17.888640625     14.887201171875  ""                 ""                     ""                    ""       -36.340054642942775 ""             ""     ""         "4FGL J2359.3+2502" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ0643+0857 100.8601876 8.9605588916 4FGLJ0643.3+0857(PMNJ0643+0857_LSP)            5.75      3.33          1.78  0.5       14.5        6.3             10.1       0.882   2.0   4LACdr3                                                         8.0     50.56308203125   8.0     50.56308203125   28.55278515625   0.9761698296489444 0.0238301703510557     0.0241187019184429    0.0      2.3125904186264723  ""             ""     ""         "4FGL J0643.3+0857" N                   ""                    fsrq           "PMN J0643+0857"             "4FGL J0643.3+0857" 0.882       ""                ""      
  1CGHJ0153-1106 28.304875   -11.10752778 3HSPJ015313.2-110627                           6.56      4.01          3.31  0.19      10.8        6.6             10.1       0.32    2.0   3HSPcat                                                         7.0     33.28123046875   6.0     27.80653515625   22.724546875     0.9998869252105692 1.130747894309E-4      1.130811828668E-4     0.0      -68.37594433490018  ""             0.32   4          ""                 ""                  ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1219-2008 184.9601    -20.1339     4FGLJ1219.8-2008                               4.57      2.54          2.65  0.33      8.11        4.48            10.1       ""      ""    4FGLdr4                                                         4.0     25.78981640625   2.0     25.78981640625   19.5578203125    ""                 ""                     ""                    ""       42.12234389909166   ""             ""     ""         "4FGL J1219.8-2008" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ2029-1837 307.2511997 -18.61938886 4FGLJ2029.1-1839                               5.07      1.41          2.52  0.41      9.25        2.64            10.2       0.76    2.0   Foschini22(3,4[=])                                              4.0     146.015640625    4.0     146.015640625    46.998796875     0.9108202700738272 0.0891797299261728     0.0934096897988406    0.0      -29.596614780769492 ""             ""     ""         "4FGL J2029.1-1839" N                   ""                    bcu            "NVSS J202900-183709"        "4FGL J2029.1-1839" -Infinity   ""                ""      
  1CGHJ1644-7715 251.0671691 -77.26355743 4FGLJ1643.0-7714                               4.82      2.46          3.79  1.37      8.05        4.02            10.2       0.0427  1.0   Foschini22(1993MNRAS.262..889S[=])                              5.0     25.671337890625  5.0     25.671337890625  18.382736328125  1.0                0.0                    0.0                   0.0      -19.961649472254475 ""             ""     ""         "4FGL J1643.0-7714" N                   ""                    bll            "PKS 1636-77"                "4FGL J1643.0-7714" -Infinity   ""                ""      
  1CGHJ0315+4232 48.8644896  42.546813691 4FGLJ0315.5+4231                               4.98      1.25          2.7   0.35      8.75        2.22            10.2       ""      ""    4FGLdr4                                                         6.0     45.94044140625   5.0     45.94044140625   28.31178125      ""                 ""                     ""                    ""       -12.831640685526589 ""             ""     ""         "4FGL J0315.5+4231" N                   ""                    bcu            "NVSS J031527+423249"        "4FGL J0315.5+4231" -Infinity   ""                ""      
  1CGHJ0150+4848 27.6144     48.814       4FGLJ0150.4+4848                               4.23      2.83          4.61  1.42      7.62        5.28            10.2       ""      ""    4FGLdr4                                                         5.0     15.3229453125    5.0     15.3229453125    14.0393701171875 ""                 ""                     ""                    ""       -12.919024898251164 ""             ""     ""         "4FGL J0150.4+4848" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1723-6500 260.9209562 -65.01016983 4FGLJ1724.2-6501(NGC_6328_LSP)                 5.67      0.84          2.72  0.21      9.93        1.5             10.2       0.0144  2.0   4LACdr3                                                         4.0     35.92555078125   4.0     35.92555078125   21.01020703125   1.0                0.0                    0.0                   0.0      -15.832420322361246 ""             ""     ""         "4FGL J1724.2-6501" N                   ""                    rdg            "NGC 6328"                   "4FGL J1724.2-6501" 0.014428    ""                ""      
  1CGHJ1431-4432 217.7513    -44.5404     4FGLJ1431.0-4432                               2.96      2.13          6.5   ""        7.55        5.41            10.2       ""      ""    4FGLdr4                                                         4.0     15.45190625      4.0     15.45190625      12.075552734375  ""                 ""                     ""                    ""       14.808184507102569  ""             ""     ""         "4FGL J1431.0-4432" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ0514-3746 78.516716   -37.76802825 4FGLJ0513.9-3746                               3.91      2.22          2.71  0.92      6.86        3.76            10.3       0.793   2.0   Foschini22(4,13[=])                                             4.0     33.2193671875    2.0     15.85067578125   19.21633984375   0.9987253323867348 0.0012746676132653     0.0012754806930385    0.0      -34.69912189833864  ""             ""     ""         "4FGL J0513.9-3746" N                   ""                    bll            "NVSS J051404-374607"        "4FGL J0513.9-3746" -Infinity   ""                ""      
  1CGHJ1517+2638 229.2608053 26.649673933 4FGLJ1517.0+2639                               4.1       2.3           2.86  0.99      7.02        3.85            10.3       0.549   2.0   Foschini22(1,3,4,6,13[=])                                       4.0     25.96331640625   4.0     25.96331640625   17.746078125     0.9999257306257764 7.426937422372326E-5   7.42721323302598E-5   0.0      57.64609615247959   ""             ""     ""         "4FGL J1517.0+2639" N                   ""                    bcu            "SDSS J151702.59+263858.7"   "4FGL J1517.0+2639" 0.385       "3FHL J1517.0+2638" ""      
  1CGHJ1333+1540 203.3662    15.6756      4FGLJ1333.4+1540                               4.27      2.63          2.02  0.53      9.36        5.06            10.3       ""      ""    4FGLdr4                                                         4.0     82.8432578125    4.0     82.8432578125    32.87571875      ""                 ""                     ""                    ""       74.95497707449626   ""             ""     ""         "4FGL J1333.4+1540" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1744+4637 266.0112609 46.62833023  4FGLJ1744.1+4635                               2.53      1.68          1.77  0.56      6.49        3.42            10.3       ""      ""    4FGLdr4                                                         4.0     62.3412421875    4.0     62.3412421875    28.024369140625  ""                 ""                     ""                    ""       30.57088078469491   ""             ""     ""         "4FGL J1744.1+4635" N                   ""                    bcu            "RX J1744.0+4637"            ""                ""          ""                ""      
  1CGHJ1909+3510 287.3920898 35.180366516 4FGLJ1909.5+3511                               3.4       1.48          1.98  0.37      7.62        3.18            10.3       ""      ""    4FGLdr4                                                         5.0     57.249265625     5.0     57.249265625     40.32608203125   ""                 ""                     ""                    ""       11.84297794038907   ""             ""     ""         "4FGL J1909.5+3511" N                   ""                    bcu            "TXS 1907+350"               "4FGL J1909.5+3511" -Infinity   ""                ""      
  1CGHJ2012-7712 303.0040833 -77.20552778 3HSPJ201201.0-771219                           4.96      0.73          2.86  0.23      8.51        1.27            10.4       0.33    2.0   3HSPcat                                                         4.0     28.146578125     3.0     23.29875390625   20.86108984375   0.9999576304819452 4.23695180546968E-5    4.237041566808128E-5  0.0      -30.83307596509736  ""             0.33   5          ""                 ""                  ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1214-2318 183.6251    -23.3113     4FGLJ1214.5-2318                               4.76      2.6           4.62  1.12      8.59        4.45            10.4       ""      ""    4FGLdr4                                                         4.0     17.247857421875  4.0     17.247857421875  13.55205078125   ""                 ""                     ""                    ""       38.777622136777346  ""             ""     ""         "4FGL J1214.5-2318" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ0912-2752 138.1316116 -27.87144945 4FGLJ0912.2-2751                               5.97      0.9           2.79  0.17      10.3        1.5             10.4       1.75    2.0   Foschini22(3,4[=])                                              5.0     49.6567265625    4.0     49.6567265625    28.27377734375   0.8329627489472416 0.1670372510527583     0.1827663569661958    1.0      13.954339660710058  ""             ""     ""         "4FGL J0912.2-2751" N                   ""                    bcu            "PMN J0912-2752"             "4FGL J0912.2-2751" -Infinity   ""                ""      
  1CGHJ0542+3541 85.57915297 35.696944294 4FGLJ0542.4+3547c                              7.41      4.14          1.98  0.36      16.5        9.8             10.4       ""      ""    4FGLdr4                                                         5.0     100.811          3.0     13.225611328125  34.56751953125   ""                 ""                     ""                    ""       2.9444796417633508  ""             ""     ""         "4FGL J0542.4+3547c" N                   ""                    bcu            "NVSS J054218+354149"        "4FGL J0542.4+3547" -Infinity   ""                ""      
  1CGHJ1717-3342 259.40012   -33.70244    5BZBJ1717-3342                                 12.4      4.3           2.25  0.3       24.6        8.4             10.4       ""      ""    5BZcat                                                          15.0    45.31817578125   12.0    45.31817578125   33.449625        ""                 ""                     ""                    ""       2.392171170273902   5BZBJ1717-3342 ""     ""         "4FGL J1717.5-3342" N                   ""                    bll            "TXS 1714-336"               "4FGL J1717.5-3342" -Infinity   ""                ""      
  1CGHJ1125-4004 171.4726    -40.0808     4FGLJ1125.8-4004                               4.84      2.62          3.32  1.06      8.03        4.35            10.5       ""      ""    4FGLdr4                                                         4.0     26.7721484375    3.0     26.7721484375    19.004517578125  ""                 ""                     ""                    ""       19.906022429386056  ""             ""     ""         "4FGL J1125.8-4004" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ2217-2738 334.3947    -27.6369     4FGLJ2217.5-2738                               2.99      2.02          2.08  0.67      6.37        3.62            10.5       ""      ""    4FGLdr4                                                         4.0     111.3746875      2.0     17.2181328125    38.0870859375    ""                 ""                     ""                    ""       -55.98188335252918  ""             ""     ""         "4FGL J2217.5-2738" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ2304+1647 346.1906    16.7854      4FGLJ2304.7+1647                               3.63      2.34          2.01  0.58      8.0         4.38            10.5       ""      ""    4FGLdr4                                                         4.0     43.9831015625    3.0     43.9831015625    30.549248046875  ""                 ""                     ""                    ""       -39.030857108837175 ""             ""     ""         "4FGL J2304.7+1647" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1320+8450 200.2216033 84.83643341  4FGLJ1315.4+8453                               3.63      0.32          2.92  0.17      6.19        0.56            10.5       0.573   2.0   Foschini22(11[=])                                               5.0     29.414033203125  5.0     29.414033203125  21.611837890625  0.9992154635618846 7.845364381153E-4      7.848443478815E-4     0.0      32.24707434649183   ""             ""     ""         "4FGL J1315.4+8453" N                   ""                    bcu            "6C B132240+850531"          "4FGL J1315.4+8453" -Infinity   ""                ""      
  1CGHJ2221+3358 335.467987  33.981121063 4FGLJ2221.8+3358                               5.07      2.65          3.75  1.57      8.45        4.31            10.5       ""      ""    4FGLdr4                                                         4.0     39.10119921875   4.0     39.10119921875   18.742703125     ""                 ""                     ""                    ""       -19.358886508091516 ""             ""     ""         "4FGL J2221.8+3358" N                   ""                    bcu            "TXS 2219+337"               "4FGL J2221.8+3358" -Infinity   ""                ""      
  1CGHJ1959-6121 299.8335    -61.3543     4FGLJ1959.3-6121                               4.23      2.28          3.71  1.67      7.04        3.68            10.5       ""      ""    4FGLdr4                                                         5.0     34.8154609375    5.0     34.8154609375    18.760576171875  ""                 ""                     ""                    ""       -31.649941370381196 ""             ""     ""         "4FGL J1959.3-6121" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1529+6731 232.4299159 67.529763091 4FGLJ1529.7+6733                               3.3       0.19          3.8   0.22      5.52        0.49            10.6       1.05    2.0   Foschini22(13[=])                                               5.0     23.36412109375   5.0     23.36412109375   16.168208984375  0.9984814553006448 0.001518544699355      0.0015196988569316    0.0      43.12337790077819   ""             ""     ""         "4FGL J1529.7+6733" N                   ""                    bcu            "WN B1529+6741"              "4FGL J1529.7+6733" -Infinity   ""                ""      
  1CGHJ0406-5404 61.53609466 -54.08052444 4FGLJ0406.0-5407                               3.28      1.81          2.81  0.95      5.67        3.05            10.6       0.193   2.0   Foschini22(2,6,12a,12b,13[=])                                   5.0     23.008779296875  5.0     23.008779296875  19.01598828125   1.0                0.0                    0.0                   0.0      -45.56360584178115  ""             ""     ""         "4FGL J0406.0-5407" N                   ""                    bll            "SUMSS J040608-540445"       "4FGL J0406.0-5407" -Infinity   ""                ""      
  1CGHJ1459+7140 224.78158   71.67219     5BZUJ1459+7140                                 2.48      1.44          2.34  0.69      4.77        2.49            10.6       0.91    1.0   5BZcat                                                          5.0     73.7944921875    4.0     22.886396484375  32.07076171875   0.957036143271562  0.0429638567284379     0.0439141209784377    0.0      42.09709113662076   5BZUJ1459+7140 ""     ""         "4FGL J1459.0+7140" N                   ""                    css            "3C 309.1"                   "4FGL J1459.0+7140" 0.91        ""                ""      
  1CGHJ0600+4949 90.1179     49.8172      4FGLJ0600.4+4949                               4.77      2.45          2.66  0.79      8.45        4.12            10.6       ""      ""    4FGLdr4                                                         5.0     47.20491796875   5.0     47.20491796875   21.157455078125  ""                 ""                     ""                    ""       12.809770093601104  ""             ""     ""         "4FGL J0600.4+4949" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1017+5202 154.2778333 52.04644444  3HSPJ101706.7+520247                           2.67      0.25          2.13  0.12      5.55        0.57            10.6       0.379   1.0   3HSPcat                                                         4.0     107.6753828125   4.0     107.6753828125   40.199140625     0.990230352514705  0.0097696474852949     0.0098176836113503    0.0      51.94618279823494   ""             0.379  1          "4FGL J1017.3+5204" N                   ""                    bcu            "7C 1013+5217"               "4FGL J1017.3+5204" 0.379       ""                ""      
  1CGHJ1155-8101 178.94225   -81.02169    5BZUJ1155-8101                                 1.82      1.48          1.41  0.46      6.52        3.55            10.7       1.395   1.0   Shaw12(5BZ[=?])                                                 6.0     200.978921875    4.0     200.978921875    70.343078125     0.4401907722932963 0.5598092277067037     0.8205470726417591    1.0      -18.395959700795657 5BZUJ1155-8101 ""     ""         ""                 ""                  ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ2028-0010 307.2151    -0.1707      4FGLJ2028.8-0010                               5.53      2.37          2.67  0.66      9.76        4.06            10.7       ""      ""    4FGLdr4                                                         4.0     28.846626953125  2.0     28.846626953125  16.231515625     ""                 ""                     ""                    ""       -21.616174618961583 ""             ""     ""         "4FGL J2028.8-0010" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1520+4211 230.16546   42.18647     5BZQJ1520+4211                                 3.58      2.01          3.12  0.98      5.98        3.38            10.7       0.484   1.0   5BZcat                                                          4.0     29.053927734375  4.0     29.053927734375  19.752912109375  0.9998605864061864 1.394135938136E-4      1.39423312792E-4      0.0      56.17543953806221   5BZQJ1520+4211 ""     ""         "4FGL J1520.5+4209" N                   ""                    fsrq           "B3 1518+423"                "4FGL J1520.5+4209" 0.484       ""                ""      
  1CGHJ1610-3958 242.59117   -39.98286    5BZQJ1610-3958                                 9.69      0.64          3.32  0.19      16.0        1.0             10.8       0.518   2.0   4LACdr3                                                         8.0     26.723435546875  7.0     26.723435546875  21.37011328125   0.999545731631152  4.54268368848E-4       4.543715799817E-4     0.0      8.498806803055658   5BZQJ1610-3958 ""     ""         "4FGL J1610.3-3958" N                   ""                    fsrq           "PMN J1610-3958"             "4FGL J1610.3-3958" 0.518       ""                ""      
  1CGHJ2039+6656 309.9026    66.9453      4FGLJ2039.6+6656c                              3.56      0.21          1.88  0.11      8.45        0.76            10.8       ""      ""    4FGLdr4                                                         4.0     104.9060078125   4.0     104.9060078125   37.4546953125    ""                 ""                     ""                    ""       15.135517242342898  ""             ""     ""         "4FGL J2039.6+6656c" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ0509-2913 77.36553872 -29.22807023 4FGLJ0509.3-2917                               4.66      2.45          2.81  1.03      8.05        4.24            10.8       ""      ""    4FGLdr4                                                         4.0     30.043451171875  3.0     18.26223828125   18.251005859375  ""                 ""                     ""                    ""       -33.844798576257126 ""             ""     ""         "4FGL J0509.3-2917" N                   ""                    bcu            "NVSS J050927-291339"        "4FGL J0509.3-2917" -Infinity   ""                ""      
  1CGHJ1311+5513 197.76338   55.23175     5BZQJ1311+5513                                 3.17      1.69          3.78  1.3       5.28        2.8             10.8       0.925   1.0   5BZcat                                                          4.0     22.6659921875    3.0     22.6659921875    16.7152890625    0.999176364988134  8.236350118661E-4      8.239743855419E-4     0.0      61.6713656662272    5BZQJ1311+5513 ""     ""         "4FGL J1310.9+5514" N                   ""                    fsrq           "TXS 1308+554"               "4FGL J1310.9+5514" 0.9245      ""                ""      
  1CGHJ1554-0240 238.5525207 -2.66791296  4FGLJ1554.0-0243                               4.01      1.97          6.5   ""        10.2        5.0             10.8       ""      ""    4FGLdr4                                                         6.0     12.247185546875  6.0     12.247185546875  11.46687109375   ""                 ""                     ""                    ""       36.85271746468487   ""             ""     ""         "4FGL J1554.0-0243" N                   ""                    bcu            "PMN J1554-0239"             "4FGL J1554.0-0243" -Infinity   ""                ""      
  1CGHJ1107-3043 166.93388   -30.72636    5BZQJ1107-3043                                 4.8       2.18          3.48  1.11      7.94        3.6             10.8       0.74    1.0   5BZcat                                                          4.0     28.073478515625  4.0     28.073478515625  16.198498046875  0.9998747271729602 1.252728270397E-4      1.252806743357E-4     0.0      27.06988027380365   5BZQJ1107-3043 ""     ""         "4FGL J1107.7-3042" N                   ""                    fsrq           "PKS 1105-304"               "4FGL J1107.7-3042" 0.74        ""                ""      
  1CGHJ0206-0957 31.56620833 -9.954861111 3HSPJ020615.9-095717                           2.63      1.65          1.77  0.17      6.72        4.08            10.8       0.166   1.0   3HSPcat                                                         4.0     207.938921875    4.0     207.938921875    64.38103125      0.9879792754578982 0.0120207245421017     0.012093557711462     0.0      -65.38233167909411  ""             0.166  1          "4FGL J0206.0-0958" N                   ""                    fsrq           "2MASS J02061590-0957174"    "4FGL J0206.0-0958" 0.165866    ""                ""      
  1CGHJ0244+1719 41.0964     17.3284      4FGLJ0244.3+1719                               3.28      0.89          1.79  0.2       8.33        2.42            10.8       ""      ""    4FGLdr4                                                         4.0     61.4095078125    4.0     61.4095078125    37.0071171875    ""                 ""                     ""                    ""       -37.78337264840968  ""             ""     ""         "4FGL J0244.3+1719" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1337+5501 204.45683   55.01725     5BZQJ1337+5501                                 3.11      0.43          2.53  0.18      5.67        0.81            10.9       1.099   1.0   5BZcat                                                          4.0     33.16192578125   3.0     33.16192578125   21.959212890625  0.9844433689590107 0.0155566310409892     0.0156789051993867    0.0      60.86068973350214   5BZQJ1337+5501 ""     ""         "4FGL J1337.4+5502" N                   ""                    fsrq           "S4 1335+55"                 "4FGL J1337.4+5502" 1.099576    ""                ""      
  1CGHJ0214-5822 33.54325103 -58.36856079 4FGLJ0214.4-5822                               2.38      1.76          5.25  2.41      4.74        2.66            10.9       0.174   2.0   Foschini22(2,4,5,6,12a,12b,13[=])                               4.0     16.031484375     4.0     16.031484375     12.658755859375  1.0                0.0                    0.0                   0.0      -55.57980998612139  ""             ""     ""         "4FGL J0214.4-5822" N                   ""                    bcu            "PMN J0214-5822"             "4FGL J0214.4-5822" -Infinity   ""                ""      
  1CGHJ2045+2455 311.4122    24.9231      4FGLJ2045.6+2455                               2.04      1.15          1.37  0.29      7.71        3.5             10.9       ""      ""    4FGLdr4                                                         5.0     307.76375        4.0     25.840248046875  88.8345703125    ""                 ""                     ""                    ""       -11.164034003913894 ""             ""     ""         "4FGL J2045.6+2455" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ2119-1106 319.91621   -11.10392    5BZQJ2119-1106                                 2.93      2.62          5.94  2.83      6.64        3.77            10.9       1.844   1.0   5BZcat                                                          4.0     13.1946875       4.0     13.1946875       11.7649296875    0.9973834036325788 0.0026165963674211     0.0026200256390154    0.0      -37.88576958226549  5BZQJ2119-1106 ""     ""         "4FGL J2119.6-1105" N                   ""                    fsrq           "PKS 2116-11"                "4FGL J2119.6-1105" 1.844       ""                ""      
  1CGHJ1701-5621 255.4369088 -56.36552855 4FGLJ1701.7-5621                               7.97      2.51          3.12  0.62      13.3        4.1             10.9       ""      ""    4FGLdr4                                                         7.0     49.2280390625    6.0     49.2280390625    28.8169453125    ""                 ""                     ""                    ""       -8.778516523217931  ""             ""     ""         "4FGL J1701.7-5621" N                   ""                    bcu            "MRC 1657-562"               "4FGL J1701.7-5621" -Infinity   ""                ""      
  1CGHJ1602+4212 240.7452917 42.20088889  3HSPJ160258.9+421203                           2.26      1.55          1.9   0.55      5.32        2.97            10.9       0.466   1.0   3HSPcat                                                         5.0     110.4830390625   5.0     110.4830390625   65.6343515625    0.9234567716325052 0.0765432283674949     0.0796312897156316    0.0      48.45464627710409   ""             0.466  1          ""                 ""                  ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ0541-7332 85.46156619 -73.53759649 4FGLJ0541.4-7334                               3.91      2.1           4.18  1.56      6.71        3.38            10.9       9.27E-4 2.0   4LACdr3                                                         4.0     21.053693359375  4.0     21.053693359375  16.06010546875   1.0                0.0                    0.0                   0.0      -30.844080348952915 ""             ""     ""         "4FGL J0541.4-7334" N                   ""                    bcu            "PKS 0542-735"               "4FGL J0541.4-7334" 9.27E-4     ""                ""      
  1CGHJ1649+8251 252.2649841 82.86579132  4FGLJ1649.3+8252                               3.68      1.93          2.41  0.63      6.92        3.37            10.9       ""      ""    4FGLdr4                                                         4.0     18.8057890625    4.0     18.8057890625    17.300765625     ""                 ""                     ""                    ""       30.577897985614904  ""             ""     ""         "4FGL J1649.3+8252" N                   ""                    bcu            "WN B1655.0+8256"            "4FGL J1649.3+8252" -Infinity   ""                ""      
  1CGHJ1754-6423 268.675     -64.39606    5BZBJ1754-6423                                 4.16      2.58          2.23  0.5       8.32        5.41            10.9       1.26    1.0   Foschini22(2013ApJ...764..135S[=])                              5.0     92.53409375      4.0     92.53409375      42.25609375      0.7867556178406546 0.2132443821593453     0.2398376024966644    1.0      -18.479281914820692 5BZBJ1754-6423 ""     ""         "4FGL J1754.5-6425" N                   ""                    bll            "PMN J1754-6423"             "4FGL J1754.5-6425" 1.255       ""                ""      
  1CGHJ0944-0911 146.0903    -9.1923      4FGLJ0944.3-0911                               4.11      0.5           2.44  0.14      7.65        0.97            10.9       ""      ""    4FGLdr4                                                         4.0     29.58921484375   3.0     29.58921484375   22.4313828125    ""                 ""                     ""                    ""       31.93227309730389   ""             ""     ""         "4FGL J0944.3-0911" N                   ""                    ""             ""                           ""                ""          ""                ""      
  1CGHJ1452-1319 223.2423157 -13.32303865 4FGLJ1453.0-1318                               6.19      3.23          2.68  0.75      10.9        5.4             10.9       ""      ""    4FGLdr4                                                         4.0     39.16572265625   3.0     39.16572265625   19.7212890625    ""                 ""                     ""                    ""       39.94268898459801   ""             ""     ""         "4FGL J1453.0-1318" N                   ""                    bcu            "TXS 1450-131"               "4FGL J1453.0-1318" -Infinity   ""                ""      
